Tanggal,Jumlah Orang di Test,Orang Positif Harian,Orang Negatif Harian,Positivity Rate Kasus Baru Harian,Total Spesimen di Test,Positif,Negatif,Positivity Rate Spesimen Harian,
29/02/2020 ,40,0,40,0.00%,40,0,40,0.0%,
1/3/2020,39,0,39,0.00%,39,0,39,0.0%,
2/3/2020,3,0,3,0.00%,3,0,3,0.0%,
3/3/2020,15,3,12,20.00%,15,3,12,20.0%,
4/3/2020,7,0,7,0.00%,7,0,7,0.0%,
6/3/2020,5,0,5,0.00%,5,0,5,0.0%,
7/3/2020,26,0,26,0.00%,26,0,26,0.0%,
8/3/2020,56,1,55,1.80%,56,0,56,0.0%,
9/3/2020,73,27,46,37.00%,73,25,48,34.2%,
10/3/2020,52,2,50,3.80%,52,0,52,0.0%,
11/3/2020,48,26,22,54.20%,48,3,45,6.3%,
12/3/2020,56,10,46,17.90%,56,23,33,41.1%,
13/03/2020 ,30,7,23,23.30%,30,10,20,33.3%,
14/03/2020 ,44,16,28,36.40%,44,3,41,6.8%,
15/03/2020 ,41,2,39,4.90%,41,15,26,36.6%,
16/03/2020 ,47,25,22,53.20%,47,2,45,4.3%,
17/03/2020 ,104,38,66,36.50%,104,26,78,25.0%,
18/03/2020 ,132,51,81,38.60%,132,38,94,28.8%,
19/03/2020 ,154,13,141,8.40%,154,48,106,31.2%,
20/03/2020 ,118,44,74,37.30%,118,12,106,10.2%,
21/03/2020 ,501,39,462,7.80%,1190,437,753,36.7%,
22/03/2020 ,1097,49,1048,4.50%,1997,1901,96,95.2%,
23/03/2020 ,378,71,307,18.80%,3029,2908,121,96.0%,
24/03/2020 ,347,45,302,13.00%,1022,446,576,43.6%,
25/03/2020 ,196,43,153,21.90%,887,437,450,49.3%,
26/03/2020 ,248,51,197,20.60%,959,448,511,46.7%,
27/03/2020 ,199,37,162,18.60%,887,435,452,49.0%,
28/03/2020 ,359,98,261,27.30%,1126,502,624,44.6%,
29/03/2020 ,127,26,101,20.50%,751,426,325,56.7%,
30/03/2020 ,217,14,203,6.50%,922,431,491,46.7%,
31/03/2020 ,300,75,225,25.00%,1047,478,569,45.7%,
1/4/2020,164,93,71,56.70%,920,504,416,54.8%,
2/4/2020,455,81,374,17.80%,1343,532,811,39.6%,
3/4/2020,908,81,827,8.90%,1501,545,956,36.3%,
4/4/2020,1470,80,1390,5.40%,2414,608,1806,25.2%,
5/4/2020,1218,148,1070,12.20%,2248,538,1710,23.9%,
6/4/2020,812,144,668,17.70%,1909,558,1351,29.2%,
7/4/2020,877,109,768,12.40%,2152,534,1618,24.8%,
8/4/2020,988,167,821,16.90%,2179,601,1578,27.6%,
9/4/2020,1003,91,912,9.10%,2094,562,1532,26.8%,
10/4/2020,1304,93,1211,7.10%,2561,560,2001,21.9%,
11/4/2020,916,179,737,19.50%,2021,573,1448,28.4%,
12/4/2020,844,160,684,19.00%,1865,533,1332,28.6%,
13/04/2020 ,840,107,733,12.70%,1927,560,1367,29.1%,
14/04/2020 ,1114,98,1016,8.80%,2253,521,1732,23.1%,
15/04/2020 ,981,223,758,22.70%,2148,568,1580,26.4%,
16/04/2020 ,888,153,735,17.20%,1932,531,1401,27.5%,
17/04/2020 ,1214,79,1135,6.50%,2428,525,1903,21.6%,
18/04/2020 ,1123,131,992,11.70%,2245,466,1779,20.8%,
19/04/2020 ,1248,79,1169,6.30%,2602,585,2017,22.5%,
20/04/2020 ,1606,167,1439,10.40%,2974,565,2409,19.0%,
21/04/2020 ,1599,120,1479,7.50%,2932,513,2419,17.5%,
22/04/2020 ,1552,107,1445,6.90%,2931,527,2404,18.0%,
23/04/2020 ,1714,99,1615,5.80%,3144,522,2622,16.6%,
24/04/2020 ,1599,76,1523,4.80%,2994,532,2462,17.8%,
25/04/2020 ,1278,65,1213,5.10%,2432,438,1994,18.0%,
26/04/2020 ,803,86,717,10.70%,1862,453,1409,24.3%,
27/04/2020 ,1434,118,1316,8.20%,2879,583,2296,20.3%,
28/04/2020 ,1904,83,1821,4.40%,3362,525,2837,15.6%,
29/04/2020 ,2276,105,2171,4.60%,3985,559,3426,14.0%,
30/04/2020 ,2339,145,2194,6.20%,3998,515,3483,12.9%,
1/5/2020,2496,72,2424,2.90%,4304,553,3751,12.8%,
2/5/2020,2211,62,2149,2.80%,3634,513,3121,14.1%,
3/5/2020,1127,55,1072,4.90%,2105,608,1497,28.9%,
4/5/2020,2594,169,2425,6.50%,4189,695,3494,16.6%,
5/5/2020,2520,68,2452,2.70%,3916,611,3305,15.6%,
6/5/2020,2985,66,2919,2.20%,4624,571,4053,12.3%,
7/5/2020,1733,126,1607,7.30%,3047,743,2304,24.4%,
8/5/2020,2500,57,2443,2.30%,4007,778,3229,19.4%,
9/5/2020,2629,182,2447,6.90%,4029,662,3367,16.4%,
10/5/2020,1490,55,1435,3.70%,2696,830,1866,30.8%,
11/5/2020,2575,108,2467,4.20%,4019,771,3248,19.2%,
12/5/2020,3119,134,2985,4.30%,4757,672,4085,14.1%,
13/05/2020 ,2601,180,2421,6.90%,4063,619,3444,15.2%,
14/05/2020 ,2500,62,2438,2.50%,4083,730,3353,17.9%,
15/05/2020 ,2433,116,2317,4.80%,3791,645,3146,17.0%,
16/05/2020 ,2006,127,1879,6.30%,3206,585,2621,18.2%,
17/05/2020 ,1673,88,1585,5.30%,2822,617,2205,21.9%,
18/05/2020 ,2194,43,2151,2.00%,3548,631,2917,17.8%,
19/05/2020 ,2530,97,2433,3.80%,4040,667,3373,16.5%,
20/05/2020 ,2457,72,2385,2.90%,3863,620,3243,16.0%,
21/05/2020 ,1907,97,1810,5.10%,3303,799,2504,24.2%,
22/05/2020 ,3214,127,3087,4.00%,4836,643,4193,13.3%,
23/05/2020 ,1764,118,1646,6.70%,2776,499,2277,18.0%,
24/05/2020 ,871,67,804,7.70%,1735,590,1145,34.0%,
25/05/2020 ,1321,93,1228,7.00%,2408,711,1697,29.5%,
26/05/2020 ,1972,105,1867,5.30%,3233,727,2506,22.5%,
27/05/2020 ,2271,103,2168,4.50%,3641,723,2918,19.9%,
28/05/2020 ,2768,124,2644,4.50%,4365,734,3631,16.8%,
29/05/2020 ,2392,100,2292,4.20%,3860,769,3091,19.9%,
30/05/2020 ,2808,119,2689,4.20%,4319,661,3658,15.3%,
31/05/2020 ,1858,111,1747,6.00%,3021,628,2393,20.8%,
1/6/2020,1789,73,1716,4.10%,2555,258,2297,10.1%,
2/6/2020,2371,101,2270,4.30%,3391,199,3192,5.9%,
3/6/2020,3422,62,3360,1.80%,4900,301,4599,6.1%,
4/6/2020,2738,83,2655,3.00%,3918,296,3622,7.6%,
5/6/2020,2864,102,2762,3.60%,4103,341,3762,8.3%,
6/6/2020,3334,160,3174,4.80%,4766,402,4364,8.4%,
7/6/2020,1808,96,1712,5.30%,2589,164,2425,6.3%,
8/6/2020,2798,194,2604,6.90%,4016,326,3690,8.1%,
9/6/2020,3590,187,3403,5.20%,5159,388,4771,7.5%,
10/6/2020,4064,129,3935,3.20%,5843,398,5445,6.8%,
11/6/2020,2827,76,2751,2.70%,4077,328,3749,8.0%,
12/6/2020,3411,120,3291,3.50%,4897,452,4445,9.2%,
13/06/2020 ,4955,115,4840,2.30%,7095,474,6621,6.7%,
14/06/2020 ,1851,105,1746,5.70%,3085,197,2888,6.4%,
15/06/2020 ,4605,94,4511,2.00%,6693,367,6326,5.5%,
16/06/2020 ,4702,147,4555,3.10%,6758,593,6165,8.8%,
17/06/2020 ,4740,176,4564,3.70%,6900,581,6319,8.4%,
18/06/2020 ,4260,140,4120,3.30%,6285,451,5834,7.2%,
19/06/2020 ,4794,178,4616,3.70%,6862,487,6375,7.1%,
20/06/2020 ,3258,132,3126,4.10%,4680,403,4277,8.6%,
21/06/2020 ,2806,132,2674,4.70%,4016,237,3779,5.9%,
22/06/2020 ,3627,171,3456,4.70%,5287,325,4962,6.1%,
23/06/2020 ,5986,159,5827,2.70%,8614,417,8197,4.8%,
24/06/2020 ,5142,195,4947,3.80%,7417,505,6912,6.8%,
25/06/2020 ,5444,168,5276,3.10%,7884,433,7451,5.5%,
26/06/2020 ,5295,213,5082,4.00%,7620,592,7028,7.8%,
27/06/2020 ,4440,148,4292,3.30%,6388,449,5939,7.0%,
28/06/2020 ,2434,95,2339,3.90%,3491,308,3183,8.8%,
29/06/2020 ,4598,198,4400,4.30%,7081,345,6736,4.9%,
30/06/2020 ,4618,204,4414,4.40%,7033,690,6343,9.8%,
1/7/2020,4257,198,4059,4.70%,6594,557,6037,8.4%,
2/7/2020,4255,144,4111,3.40%,6490,472,6018,7.3%,
3/7/2020,5955,215,5740,3.60%,8817,777,8040,8.8%,
4/7/2020,4305,256,4049,5.90%,6587,579,6008,8.8%,
5/7/2020,3092,231,2861,7.50%,4549,355,4194,7.8%,
6/7/2020,4441,199,4242,4.50%,6122,510,5612,8.3%,
7/7/2020,5473,308,5165,5.60%,7260,773,6487,10.6%,
8/7/2020,6486,293,6193,4.50%,9631,710,8921,7.4%,
9/7/2020,6423,236,6187,3.70%,8958,706,8252,7.9%,
10/7/2020,6584,359,6225,5.50%,10412,978,9434,9.4%,
11/7/2020,5690,404,5286,7.10%,8117,900,7217,11.1%,
12/7/2020,4102,279,3823,6.80%,5188,458,4730,8.8%,
13/07/2020 ,5998,275,5723,4.60%,8616,923,7693,10.7%,
14/07/2020 ,5414,258,5156,4.80%,8626,953,7673,11.0%,
15/07/2020 ,6405,304,6101,4.70%,9056,765,8291,8.4%,
16/07/2020 ,6448,231,6217,3.60%,9924,1085,8839,10.9%,
17/07/2020 ,9056,331,8725,3.70%,12098,802,11296,6.6%,
18/07/2020 ,6781,312,6469,4.60%,9982,927,9055,9.3%,
19/07/2020 ,3655,361,3294,9.90%,4935,519,4416,10.5%,
20/07/2020 ,6088,441,5647,7.20%,9365,932,8433,10.0%,
21/07/2020 ,8081,382,7699,4.70%,11413,1271,10142,11.1%,
22/07/2020 ,10061,416,9645,4.10%,11692,1368,10324,11.7%,
23/07/2020 ,8773,279,8494,3.20%,11009,1142,9867,10.4%,
24/07/2020 ,9100,393,8707,4.30%,10480,931,9549,8.9%,
25/07/2020 ,6887,611,6276,8.90%,8457,922,7535,10.9%,
26/07/2020 ,3148,270,2878,8.60%,4981,344,4637,6.9%,
27/07/2020 ,8184,436,7748,5.30%,11342,1196,10146,10.5%,
28/07/2020 ,8824,542,8282,6.10%,10634,1478,9156,13.9%,
29/07/2020 ,9120,340,8780,3.70%,12297,1718,10579,14.0%,
30/07/2020 ,8520,585,7935,6.90%,10856,1081,9775,10.0%,
31/07/2020 ,4222,330,3892,7.80%,5544,486,5058,8.8%,
1/8/2020,6366,329,6037,5.20%,9042,1048,7994,11.6%,
2/8/2020,3675,439,3236,11.90%,4671,489,4182,10.5%,
3/8/2020,7811,386,7425,4.90%,10802,995,9807,9.2%,
4/8/2020,7071,468,6603,6.60%,11922,1654,10268,13.9%,
5/8/2020,8124,584,7540,7.20%,12034,1616,10418,13.4%,
6/8/2020,8065,693,7372,8.60%,12299,1392,10907,11.3%,
7/8/2020,8791,776,8015,8.80%,13298,1506,11792,11.3%,
8/8/2020,6771,534,6237,7.90%,9129,1197,7932,13.1%,
9/8/2020,4433,319,4114,7.20%,5412,652,4760,12.0%,
10/8/2020,6059,582,5477,9.60%,8939,1169,7770,13.1%,
11/8/2020,5841,487,5354,8.30%,8140,896,7244,11.0%,
12/8/2020,8015,591,7424,7.40%,10993,1583,9410,14.4%,
13/08/2020 ,6881,495,6386,7.20%,9144,1362,7782,14.9%,
14/08/2020 ,8211,729,7482,8.90%,11553,1364,10189,11.8%,
15/08/2020 ,9669,625,9044,6.50%,11769,1656,10113,14.1%,
16/08/2020 ,5266,534,4732,10.10%,7387,908,6479,12.3%,
17/08/2020 ,7215,555,6660,7.70%,9212,931,8281,10.1%,
18/08/2020 ,7097,601,6496,8.50%,9548,1327,8221,13.9%,
19/08/2020 ,10636,695,9941,6.50%,14015,2127,11888,15.2%,
20/08/2020 ,5422,511,4911,9.40%,7015,1076,5939,15.3%,
21/08/2020 ,7422,760,6662,10.20%,11260,1858,9402,16.5%,
22/08/2020 ,6821,854,5967,12.50%,10132,1864,8268,18.4%,
23/08/2020 ,3691,508,3183,13.80%,6484,1157,5327,17.8%,
24/08/2020 ,8941,704,8237,7.90%,11929,1821,10108,15.3%,
25/08/2020 ,8794,569,8225,6.50%,12056,1871,10185,15.5%,
26/08/2020 ,11436,907,10529,7.90%,14863,2488,12375,16.7%,
27/08/2020 ,9360,879,8481,9.40%,14337,2158,12179,15.1%,
28/08/2020 ,10266,882,9384,8.60%,13469,2047,11422,15.2%,
29/08/2020 ,9392,974,8418,10.40%,12916,2111,10805,16.3%,
30/08/2020 ,4880,703,4177,14.40%,7578,1567,6011,20.7%,
31/08/2020 ,7514,1024,6490,13.60%,10024,1996,8028,19.9%,
1/9/2020,8222,1121,7101,13.60%,12001,2172,9829,18.1%,
2/9/2020,9971,1135,8836,11.40%,12117,2242,9875,18.5%,
3/9/2020,12131,1013,11118,8.40%,15390,2607,12783,16.9%,
4/9/2020,10248,1242,9006,12.10%,12252,2263,9989,18.5%,
5/9/2020,9866,1130,8736,11.50%,11771,2208,9563,18.8%,
6/9/2020,4979,703,4276,14.10%,6622,1167,5455,17.6%,
7/9/2020,12302,1289,11013,10.50%,14808,2427,12381,16.4%,
8/9/2020,12891,1326,11565,10.30%,14488,2658,11830,18.3%,
9/9/2020,10005,1102,8903,11.00%,13666,2232,11434,16.3%,
10/9/2020,12103,1203,10900,9.90%,14034,2476,11558,17.6%,
11/9/2020,10311,1435,8876,13.90%,13386,2501,10885,18.7%,
12/9/2020,10567,1702,8865,16.10%,13078,2826,10252,21.6%,
13/09/2020 ,5085,768,4317,15.10%,7427,1528,5899,20.6%,
14/09/2020 ,12510,1263,11247,10.10%,14901,3021,11880,20.3%,
15/09/2020 ,8677,1037,7640,12.00%,11472,2074,9398,18.1%,
16/09/2020 ,13090,1048,12042,8.00%,15747,3215,12532,20.4%,
17/09/2020 ,13012,1403,11609,10.80%,15665,2699,12966,17.2%,
18/09/2020 ,13890,1166,12724,8.40%,16387,2842,13545,17.3%,
19/09/2020 ,11118,1177,9941,10.60%,14296,2878,11418,20.1%,
20/09/2020 ,6818,929,5889,13.60%,8583,1824,6759,21.3%,
21/09/2020 ,14050,1265,12785,9.00%,17814,3127,14687,17.6%,
22/09/2020 ,12368,1187,11181,9.60%,14999,2424,12575,16.2%,
23/09/2020 ,12446,937,11509,7.50%,15558,2754,12804,17.7%,
24/09/2020 ,14461,1199,13262,8.30%,17423,2801,14622,16.1%,
25/09/2020 ,13100,1253,11847,9.60%,16250,2814,13436,17.3%,
26/09/2020 ,12736,1305,11431,10.20%,15920,2653,13267,16.7%,
27/09/2020 ,6127,807,5320,13.20%,9014,1724,7290,19.1%,
28/09/2020 ,10211,1204,9007,11.80%,13092,2157,10935,16.5%,
29/09/2020 ,13569,1253,12316,9.20%,16962,2658,14304,15.7%,
30/09/2020 ,11914,1141,10773,9.60%,14893,2607,12286,17.5%,
1/10/2020,10648,1103,9545,10.40%,13311,2428,10883,18.2%,
2/10/2020,11800,1110,10690,9.40%,14750,2385,12365,16.2%,
3/10/2020,11265,1141,10124,10.10%,14082,2562,11520,18.2%,
4/10/2020,5066,696,4370,13.70%,7514,1505,6009,20.0%,
5/10/2020,10756,1082,9674,10.10%,13445,2434,11011,18.1%,
6/10/2020,11702,1091,10611,9.30%,14628,2526,12102,17.3%,
7/10/2020,12335,1140,11195,9.20%,15419,2497,12922,16.2%,
8/10/2020,12432,1173,11259,9.40%,15540,2154,13386,13.9%,
9/10/2020,12421,1103,11318,8.90%,15148,2466,12682,16.3%,
10/10/2020,10074,1117,8957,11.10%,13636,1981,11655,14.5%,
11/10/2020,7834,893,6941,11.40%,9759,1572,8187,16.1%,
12/10/2020,14336,1612,12724,11.20%,17483,2899,14584,16.6%,
13/10/2020 ,12339,1270,11069,10.30%,15499,2378,13121,15.3%,
14/10/2020 ,13165,1324,11841,10.10%,16056,2476,13580,15.4%,
15/10/2020 ,12158,1101,11057,9.10%,15114,2475,12639,16.4%,
16/10/2020 ,9877,951,8926,9.60%,12663,1879,10784,14.8%,
17/10/2020 ,8767,913,7854,10.40%,11240,1952,9288,17.4%,
18/10/2020 ,5785,667,5118,11.50%,6963,979,5984,14.1%,
19/10/2020 ,10070,899,9171,8.90%,12588,1770,10818,14.1%,
20/10/2020 ,10412,1002,9410,9.60%,13016,2008,11008,15.4%,
21/10/2020 ,12520,1094,11426,8.70%,15651,2069,13582,13.2%,
22/10/2020 ,10631,937,9694,8.80%,13289,1825,11464,13.7%,
23/10/2020 ,10377,877,9500,8.50%,12766,1941,10825,15.2%,
24/10/2020 ,11012,1005,10007,9.10%,13192,1971,11221,14.9%,
25/10/2020 ,4701,550,4151,11.70%,5692,967,4725,17.0%,
26/10/2020 ,10221,842,9379,8.20%,12277,1620,10657,13.2%,
27/10/2020 ,13815,981,12834,7.10%,15433,2064,13369,13.4%,
28/10/2020 ,10021,803,9218,8.00%,12228,1851,10377,15.1%,
29/10/2020 ,4932,604,4328,12.20%,6255,1072,5183,17.1%,
30/10/2020 ,8870,665,8205,7.50%,10395,1683,8712,16.2%,
31/10/2020 ,7328,668,6660,9.10%,9414,1561,7853,16.6%,
1/11/2020,4199,620,3579,14.80%,6055,905,5150,14.9%,
2/11/2020,8215,782,7433,9.50%,11107,1398,9709,12.6%,
3/11/2020,12127,1096,11031,9.00%,14500,2048,12452,14.1%,
4/11/2020,12245,1205,11040,9.80%,14246,1946,12300,13.7%,
5/11/2020,10271,1096,9175,10.70%,12261,1568,10693,12.8%,
6/11/2020,11151,1069,10082,9.60%,13591,1747,11844,12.9%,
7/11/2020,10451,988,9463,9.50%,12829,1842,10987,14.4%,
8/11/2020,5312,570,4742,10.70%,7382,997,6385,13.5%,
9/11/2020,8621,786,7835,9.10%,10973,1510,9463,13.8%,
10/11/2020,13812,1028,12784,7.40%,15375,2157,13218,14.0%,
11/11/2020,12981,971,12010,7.50%,15081,2296,12785,15.2%,
12/11/2020,13451,1020,12431,7.60%,15842,2291,13551,14.5%,
13/11/2020 ,10812,987,9825,9.10%,13160,1802,11358,13.7%,
14/11/2020 ,12651,949,11702,7.50%,14553,2478,12075,17.0%,
15/11/2020 ,8081,844,7237,10.40%,9328,2057,7271,22.1%,
16/11/2020 ,11913,1158,10755,9.70%,13717,2224,11493,16.2%,
17/11/2020 ,14981,1239,13742,8.30%,16291,2769,13522,17.0%,
18/11/2020 ,12891,1137,11754,8.80%,14303,1894,12409,13.2%,
19/11/2020 ,13251,1205,12046,9.10%,15251,2622,12629,17.2%,
20/11/2020 ,13988,1216,12772,8.70%,16016,2918,13098,18.2%,
21/11/2020 ,13781,1144,12637,8.30%,15563,2767,12796,17.8%,
22/11/2020 ,8991,1009,7982,11.20%,11111,1979,9132,17.8%,
23/11/2020 ,14101,1202,12899,8.50%,16162,2445,13717,15.1%,
24/11/2020 ,17871,1291,16580,7.20%,20276,3555,16721,17.5%,
25/11/2020 ,15381,1124,14257,7.30%,17836,3787,14049,21.2%,
26/11/2020 ,15821,1285,14536,8.10%,18214,3469,14745,19.0%,
27/11/2020 ,15122,1320,13802,8.70%,17642,3598,14044,20.4%,
28/11/2020 ,14412,1140,13272,7.90%,16473,3745,12728,22.7%,
29/11/2020 ,7983,907,7076,11.40%,10500,1795,8705,17.1%,
30/11/2020 ,14812,1218,13594,8.20%,17275,2610,14665,15.1%,
1/12/2020,17812,1248,16564,7.00%,19782,3568,16214,18.0%,
2/12/2020,14211,1303,12908,9.20%,16183,3273,12910,20.2%,
3/12/2020,14671,1232,13439,8.40%,17106,3169,13937,18.5%,
4/12/2020,16534,1510,15024,9.10%,19014,3444,15570,18.1%,
5/12/2020,14671,1168,13503,8.00%,17437,3642,13795,20.9%,
6/12/2020,7812,936,6876,12.00%,9399,2358,7041,25.1%,
7/12/2020,15711,1254,14457,8.00%,17721,3339,14382,18.8%,
8/12/2020,13678,1352,12326,9.90%,15915,3190,12725,20.0%,
9/12/2020,15061,1180,13881,7.80%,17326,2692,14634,15.5%,
10/12/2020,16712,1447,15265,8.70%,19322,3906,15416,20.2%,
11/12/2020,15921,1346,14575,8.50%,18042,3463,14579,19.2%,
12/12/2020,12321,1443,10878,11.70%,13779,3152,10627,22.9%,
13/12/2020 ,7121,1190,5931,16.70%,9258,2025,7233,21.9%,
14/12/2020 ,14125,1407,12718,10.00%,16536,3529,13007,21.3%,
15/12/2020 ,16123,1675,14448,10.40%,20013,4117,15896,20.6%,
16/12/2020 ,19211,1888,17323,9.80%,21754,4951,16803,22.8%,
17/12/2020 ,21021,1952,19069,9.30%,24343,4999,19344,20.5%,
18/12/2020 ,18100,1772,16328,9.80%,21044,4292,16752,20.4%,
19/12/2020 ,12812,1311,11501,10.20%,14905,3535,11370,23.7%,
20/12/2020 ,8314,1151,7163,13.80%,10298,2265,8033,22.0%,
21/12/2020 ,17312,2028,15284,11.70%,19709,4368,15341,22.2%,
22/12/2020 ,15524,1652,13872,10.60%,18364,4284,14080,23.3%,
23/12/2020 ,19341,2070,17271,10.70%,21881,5089,16792,23.3%,
24/12/2020 ,18471,1899,16572,10.30%,20883,5119,15764,24.5%,
25/12/2020 ,10882,1881,9001,17.30%,12981,3867,9114,29.8%,
26/12/2020 ,10612,1531,9081,14.40%,12836,3412,9424,26.6%,
27/12/2020 ,10712,1294,9418,12.10%,12828,3539,9289,27.6%,
28/12/2020 ,20216,2181,18035,10.80%,22711,5842,16869,25.7%,
29/12/2020 ,20112,2547,17565,12.70%,23008,6740,16268,29.3%,
30/12/2020 ,19514,2565,16949,13.10%,22156,6529,15627,29.5%,
31/12/2020 ,16718,2321,14397,13.90%,18999,6088,12911,32.0%,
1/1/2021,7812,1281,6531,16.40%,9703,3273,6430,33.7%,
2/1/2021,12611,1960,10651,15.50%,15322,5195,10127,33.9%,
